Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
ASTRAL LTD,2017,18,1,23,0,1,0,0,7.7,256.0,3.01,Low
ASTRAL LTD,2018,26,2,14,1,1,0,0,20.7,256.0,8.09,Low
ASTRAL LTD,2019,29,7,6,4,2,1,0,79.8,256.0,31.17,Moderate
ASTRAL LTD,2020,30,6,6,4,1,1,0,70.7,256.0,27.62,Moderate
ASTRAL LTD,2021,30,4,8,2,1,1,0,40.7,256.0,15.9,Low
ASTRAL LTD,2022,29,5,8,2,2,1,0,49.8,256.0,19.45,Low
ASTRAL LTD,2023,28,6,8,2,1,3,0,50.7,256.0,19.8,Low
ASTRAL LTD,2024,30,4,8,2,1,1,0,40.7,256.0,15.9,Low
ASTRAL LTD,2025,30,4,8,1,2,1,0,34.8,256.0,13.59,Low
ASTRAL LTD,2026,29,5,8,2,1,2,0,45.7,256.0,17.85,Low
