Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
WIPRO LTD,2017,18,1,23,0,1,0,0,7.7,214.0,3.6,Low
WIPRO LTD,2018,22,4,16,2,1,1,0,40.7,214.0,19.02,Low
WIPRO LTD,2019,28,4,10,2,1,1,0,40.7,214.0,19.02,Low
WIPRO LTD,2020,27,5,10,2,2,1,0,49.8,214.0,23.27,Moderate
WIPRO LTD,2021,28,4,10,2,1,1,0,40.7,214.0,19.02,Low
WIPRO LTD,2022,27,5,10,2,2,1,0,49.8,214.0,23.27,Moderate
WIPRO LTD,2023,27,5,10,2,1,2,0,45.7,214.0,21.36,Moderate
WIPRO LTD,2024,26,6,10,2,1,3,0,50.7,214.0,23.69,Moderate
WIPRO LTD,2025,27,5,10,2,1,2,0,45.7,214.0,21.36,Moderate
WIPRO LTD,2026,27,5,10,1,2,2,0,39.8,214.0,18.6,Low
