Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
BANCO PRODUCTS (INDIA) LTD,2017,18,3,21,2,1,0,0,37.7,256.0,14.73,Low
BANCO PRODUCTS (INDIA) LTD,2018,25,5,12,4,1,0,0,65.7,256.0,25.66,Moderate
BANCO PRODUCTS (INDIA) LTD,2019,28,8,6,4,2,2,0,84.8,256.0,33.13,Moderate
BANCO PRODUCTS (INDIA) LTD,2020,29,7,6,4,1,2,0,75.7,256.0,29.57,Moderate
BANCO PRODUCTS (INDIA) LTD,2021,29,7,6,4,1,2,0,75.7,256.0,29.57,Moderate
BANCO PRODUCTS (INDIA) LTD,2022,27,9,6,4,2,3,0,89.8,256.0,35.08,Moderate
BANCO PRODUCTS (INDIA) LTD,2023,27,7,8,2,2,3,0,59.8,256.0,23.36,Moderate
BANCO PRODUCTS (INDIA) LTD,2024,29,5,8,2,2,1,0,49.8,256.0,19.45,Low
BANCO PRODUCTS (INDIA) LTD,2025,29,7,6,4,2,1,0,79.8,256.0,31.17,Moderate
BANCO PRODUCTS (INDIA) LTD,2026,28,5,9,3,1,1,0,57.7,256.0,22.54,Moderate
