Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
ANDHRA PAPER LTD,2017,17,3,22,2,1,0,0,37.7,256.0,14.73,Low
ANDHRA PAPER LTD,2018,23,4,15,3,1,0,0,52.7,256.0,20.59,Low
ANDHRA PAPER LTD,2019,28,5,9,3,1,1,0,57.7,256.0,22.54,Moderate
ANDHRA PAPER LTD,2020,27,6,9,3,1,2,0,62.7,256.0,24.49,Moderate
ANDHRA PAPER LTD,2021,28,8,6,4,1,3,0,80.7,256.0,31.52,Moderate
ANDHRA PAPER LTD,2022,30,6,6,4,1,1,0,70.7,256.0,27.62,Moderate
ANDHRA PAPER LTD,2023,30,6,6,4,1,1,0,70.7,256.0,27.62,Moderate
ANDHRA PAPER LTD,2024,29,7,6,4,1,2,0,75.7,256.0,29.57,Moderate
ANDHRA PAPER LTD,2025,26,10,6,4,1,5,0,90.7,256.0,35.43,Moderate
ANDHRA PAPER LTD,2026,26,10,6,4,2,4,0,94.8,256.0,37.03,Moderate
