Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
NATIONAL HIGHWAYS INFRA TRUST,2021,4,0,38,0,0,0,0,0.0,179.6,0.0,Low
NATIONAL HIGHWAYS INFRA TRUST,2022,17,1,24,0,1,0,0,7.7,179.6,4.29,Low
NATIONAL HIGHWAYS INFRA TRUST,2023,21,2,19,0,2,0,0,16.8,179.6,9.35,Low
NATIONAL HIGHWAYS INFRA TRUST,2024,23,5,14,1,1,3,0,37.7,179.6,20.99,Low
NATIONAL HIGHWAYS INFRA TRUST,2025,23,5,14,1,1,3,0,37.7,179.6,20.99,Low
NATIONAL HIGHWAYS INFRA TRUST,2026,23,5,14,1,1,3,0,37.7,179.6,20.99,Low
