Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
AXIS BANK LTD,2017,15,4,23,2,2,0,0,45.4,235.0,19.32,Low
AXIS BANK LTD,2018,19,6,17,3,3,0,0,69.5,235.0,29.57,Moderate
AXIS BANK LTD,2019,22,10,10,4,4,2,0,101.6,235.0,43.23,Significant
AXIS BANK LTD,2020,21,8,13,3,3,2,0,79.5,235.0,33.83,Moderate
AXIS BANK LTD,2021,21,8,13,3,3,2,0,79.5,235.0,33.83,Moderate
AXIS BANK LTD,2022,24,8,10,4,2,2,0,83.4,235.0,35.49,Moderate
AXIS BANK LTD,2023,22,10,10,4,4,2,0,101.6,235.0,43.23,Significant
AXIS BANK LTD,2024,22,10,10,4,4,2,0,101.6,235.0,43.23,Significant
AXIS BANK LTD,2025,22,10,10,4,4,2,0,101.6,235.0,43.23,Significant
AXIS BANK LTD,2026,22,10,10,4,3,3,0,97.5,235.0,41.49,Significant
