Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
ADANI GREEN ENERGY LTD,2017,16,4,22,2,2,0,0,45.4,224.1,20.26,Low
ADANI GREEN ENERGY LTD,2018,22,5,15,3,2,0,0,60.4,224.1,26.95,Moderate
ADANI GREEN ENERGY LTD,2019,26,7,9,3,2,2,0,70.4,224.1,31.41,Moderate
ADANI GREEN ENERGY LTD,2020,26,7,9,3,2,2,0,70.4,224.1,31.41,Moderate
ADANI GREEN ENERGY LTD,2021,25,8,9,3,3,2,0,79.5,224.1,35.48,Moderate
ADANI GREEN ENERGY LTD,2022,26,7,9,3,2,2,0,70.4,224.1,31.41,Moderate
ADANI GREEN ENERGY LTD,2023,26,7,9,3,2,2,0,70.4,224.1,31.41,Moderate
ADANI GREEN ENERGY LTD,2024,25,8,9,3,2,3,0,75.4,224.1,33.65,Moderate
ADANI GREEN ENERGY LTD,2025,26,7,9,3,2,2,0,70.4,224.1,31.41,Moderate
ADANI GREEN ENERGY LTD,2026,26,7,9,3,2,2,0,70.4,224.1,31.41,Moderate
