Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
AARTI DRUGS LTD,2017,26,0,16,0,0,0,0,0.0,292.5,0.0,Low
AARTI DRUGS LTD,2018,30,5,7,2,3,0,0,53.9,292.5,18.43,Low
AARTI DRUGS LTD,2019,38,3,1,2,0,1,0,33.0,292.5,11.28,Low
AARTI DRUGS LTD,2020,39,2,1,2,0,0,0,28.0,292.5,9.57,Low
AARTI DRUGS LTD,2021,37,4,1,2,1,1,0,42.1,292.5,14.39,Low
AARTI DRUGS LTD,2022,37,4,1,2,1,1,0,42.1,292.5,14.39,Low
AARTI DRUGS LTD,2023,37,4,1,2,0,2,0,38.0,292.5,12.99,Low
AARTI DRUGS LTD,2024,38,3,1,2,0,1,0,33.0,292.5,11.28,Low
AARTI DRUGS LTD,2025,37,4,1,2,0,2,0,38.0,292.5,12.99,Low
AARTI DRUGS LTD,2026,37,4,1,2,0,2,0,38.0,292.5,12.99,Low
