Company,Year,Report Date,Selling and admin,Profit before tax,Net profit,Reserves,Other Liabilities,Sales,Other Mfr. Exp,Employee Cost,Other Expenses,Other Income,Depreciation,Interest,Tax,Equity Share Capital,Borrowings,Total,Net Block,Other Assets,Receivables,Cash & Bank,No. of Equity Shares,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Power and Fuel,Capital Work in Progress,Revenue,Net_Income,Net Profit,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility,Total Liabilities,Raw Material Cost,Expenses,Operating Profit,Working_Capital_Ratio,Receivable_Ratio,Inventory_Ratio,Cash_to_Debt,Cash_Margin,Borrowing_Growth,Asset_Growth,Reserve_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Profit_Volatility,Operating_CF_Volatility
NATIONAL HIGHWAYS INFRA TRUST,2021,2021-03-31,0.68,-0.68,-0.68,-0.68,0.68,,,,,,,,,,,,,,,,,,,,,,,,-0.68,-0.68,,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL HIGHWAYS INFRA TRUST,2022,2022-03-31,29.02,70.1,68.36,67.69,21.49,146.56,8.5,0.02,0.01,3.19,10.56,31.54,1.74,5994.43,1465.37,7548.98,7441.29,107.69,6.0,63.82,595200000.0,-7242.64,-24.9,7331.36,63.82,,,146.56,68.36,68.36,5994.43,67.69,1465.37,1465.37,63.82,63.82,-7242.64,-24.9,7331.36,63.82,0.4664301310043668,0.0,1.0,0.011276583109539237,,0.24172566692840128,0.24172566692840128,,,0.0,0.0,,,0.0,,,0.024821683309557776,,24.426666666666666,,14.942685589519652,,-101.52941176470587,,,7548.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL HIGHWAYS INFRA TRUST,2023,2023-03-31,46.5,217.4,256.9,-24.7,158.63,697.62,90.47,3.04,1.04,3.26,175.61,166.23,-39.49,7416.04,2941.59,10491.56,10116.7,374.86,3.51,211.24,726405200.0,623.73,-2905.4,2429.09,147.42,0.59,,697.62,256.9,256.9,7416.04,-24.7,2941.59,2941.59,211.24,211.24,623.73,-2905.4,2429.09,147.42,0.36825205699377883,0.0,1.0,0.03475689117264257,,0.39797790387128723,0.39797790387128723,,,0.0,0.0,,,0.0,,,-0.18164673413063478,,198.75213675213678,,1.8364582437430117,3.759961790393013,2.75804564072557,-1.0861191499232323,389.6582628406589,10491.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL HIGHWAYS INFRA TRUST,2024,2024-03-31,46.22,234.66,294.2,-275.41,1280.33,974.04,149.55,11.92,1.81,0.6,247.71,280.23,-59.54,14670.93,11734.49,27410.34,10990.35,16419.79,3.85,469.05,1312200600.0,804.61,-15809.77,15257.92,252.77,2.54,0.2,974.04,294.2,294.2,14670.93,-275.41,11734.49,11734.49,469.05,469.05,804.61,-15809.77,15257.92,252.77,0.30204098394316453,0.0,1.0,0.02043691370648646,,0.8151487407193349,0.8151487407193349,,,0.0,0.0,,,0.0,,,-0.2537287991136112,,252.99740259740258,,1.4427025584164923,0.39623290616668094,0.1451926819774232,0.2899972744617061,421.26758922724315,27410.340000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL HIGHWAYS INFRA TRUST,2025,2025-03-31,77.33,122.33,325.01,-997.68,1374.99,2413.21,335.08,25.66,1.38,2.38,797.2,1055.48,-202.68,22970.96,21679.95,45028.22,26224.34,18803.11,16.35,465.61,1936850600.0,2098.67,-18309.37,16212.3,1.6,1.13,0.77,2413.21,325.01,325.01,22970.96,-997.68,21679.95,21679.95,465.61,465.61,2098.67,-18309.37,16212.3,1.6,0.13467953472760347,0.0,1.0,0.01479114633773383,,0.9866506047344776,0.9866506047344776,,,0.0,0.0,,,0.0,,,-1.6568298863729258,,147.59694189602445,,2.4729509657261493,1.4775265902837669,0.10472467709041466,1.608307130162439,921.1285970120206,45028.219999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL HIGHWAYS INFRA TRUST,2026,2026-03-31,99.33,319.95,685.52,-2201.13,2145.33,4321.57,673.18,53.87,0.96,0.63,1450.92,1723.55,-365.58,26001.68,25047.7,50993.58,43008.77,7984.62,53.19,687.28,2138550600.0,3820.36,-6596.22,2929.95,154.1,0.44,0.19,4321.57,685.52,685.52,26001.68,-2201.13,25047.7,25047.7,687.28,687.28,3820.36,-6596.22,2929.95,154.1,0.15862753582610023,0.0,1.0,0.028802695736022906,,1.0524000495786863,1.0524000495786863,,,0.0,0.0,,,0.0,,,-1.1426160337552742,,81.24779093814627,,4.492429834527729,0.7907973197525286,1.1092274083874343,0.8203719498539552,1679.2361993577117,50993.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
