Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
ZYDUS WELLNESS LTD,2017,18,3,21,2,1,0,0,37.7,256.0,14.73,Low
ZYDUS WELLNESS LTD,2018,23,7,12,4,3,0,0,83.9,256.0,32.77,Moderate
ZYDUS WELLNESS LTD,2019,29,7,6,4,1,2,0,75.7,256.0,29.57,Moderate
ZYDUS WELLNESS LTD,2020,28,8,6,4,1,3,0,80.7,256.0,31.52,Moderate
ZYDUS WELLNESS LTD,2021,27,7,8,2,2,3,0,59.8,256.0,23.36,Moderate
ZYDUS WELLNESS LTD,2022,28,8,6,4,2,2,0,84.8,256.0,33.13,Moderate
ZYDUS WELLNESS LTD,2023,29,7,6,2,2,3,0,61.8,256.0,24.14,Moderate
ZYDUS WELLNESS LTD,2024,28,8,6,4,1,3,0,80.7,256.0,31.52,Moderate
ZYDUS WELLNESS LTD,2025,29,7,6,4,1,2,0,75.7,256.0,29.57,Moderate
ZYDUS WELLNESS LTD,2026,29,7,6,4,2,1,0,79.8,256.0,31.17,Moderate
