Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
ADANI GREEN ENERGY LTD,2017,17,4,21,2,2,0,0,45.4,256.0,17.73,Low
ADANI GREEN ENERGY LTD,2018,24,6,12,4,2,0,0,73.4,256.0,28.67,Moderate
ADANI GREEN ENERGY LTD,2019,28,8,6,4,2,2,0,83.4,256.0,32.58,Moderate
ADANI GREEN ENERGY LTD,2020,28,8,6,4,2,2,0,83.4,256.0,32.58,Moderate
ADANI GREEN ENERGY LTD,2021,27,9,6,4,3,2,0,92.5,256.0,36.13,Moderate
ADANI GREEN ENERGY LTD,2022,28,8,6,4,2,2,0,83.4,256.0,32.58,Moderate
ADANI GREEN ENERGY LTD,2023,28,8,6,4,2,2,0,83.4,256.0,32.58,Moderate
ADANI GREEN ENERGY LTD,2024,27,9,6,4,2,3,0,88.4,256.0,34.53,Moderate
ADANI GREEN ENERGY LTD,2025,28,8,6,4,2,2,0,83.4,256.0,32.58,Moderate
ADANI GREEN ENERGY LTD,2026,28,8,6,4,2,2,0,83.4,256.0,32.58,Moderate
