Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
TITAN COMPANY LTD,2017,18,1,23,0,1,0,0,7.7,214.0,3.6,Low
TITAN COMPANY LTD,2018,22,4,16,2,2,0,0,44.8,214.0,20.93,Low
TITAN COMPANY LTD,2019,26,6,10,2,2,2,0,54.8,214.0,25.61,Moderate
TITAN COMPANY LTD,2020,26,6,10,2,3,1,0,58.9,214.0,27.52,Moderate
TITAN COMPANY LTD,2021,26,6,10,2,2,2,0,54.8,214.0,25.61,Moderate
TITAN COMPANY LTD,2022,24,8,10,2,3,3,0,68.9,214.0,32.2,Moderate
TITAN COMPANY LTD,2023,27,5,10,2,2,1,0,49.8,214.0,23.27,Moderate
TITAN COMPANY LTD,2024,27,5,10,2,2,1,0,49.8,214.0,23.27,Moderate
TITAN COMPANY LTD,2025,24,8,10,2,3,3,0,68.9,214.0,32.2,Moderate
TITAN COMPANY LTD,2026,24,8,10,2,3,3,0,68.9,214.0,32.2,Moderate
