Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
COFORGE LTD,2017,18,1,23,0,1,0,0,7.7,251.0,3.07,Low
COFORGE LTD,2018,24,6,12,4,2,0,0,74.8,251.0,29.8,Moderate
COFORGE LTD,2019,25,3,14,1,1,1,0,27.7,251.0,11.04,Low
COFORGE LTD,2020,26,5,11,2,2,1,0,49.8,251.0,19.84,Low
COFORGE LTD,2021,24,7,11,2,1,4,0,55.7,251.0,22.19,Moderate
COFORGE LTD,2022,27,4,11,2,1,1,0,40.7,251.0,16.22,Low
COFORGE LTD,2023,27,4,11,2,1,1,0,40.7,251.0,16.22,Low
COFORGE LTD,2024,26,5,11,2,2,1,0,49.8,251.0,19.84,Low
COFORGE LTD,2025,27,4,11,2,1,1,0,40.7,251.0,16.22,Low
COFORGE LTD,2026,26,5,11,2,1,2,0,45.7,251.0,18.21,Low
