Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2017,18,1,23,0,1,0,0,7.7,214.0,3.6,Low
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2018,23,3,16,2,1,0,0,35.7,214.0,16.68,Low
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2019,27,5,10,2,1,2,0,45.7,214.0,21.36,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2020,26,4,12,2,1,1,0,40.7,214.0,19.02,Low
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2021,26,4,12,2,1,1,0,40.7,214.0,19.02,Low
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2022,25,5,12,2,2,1,0,49.8,214.0,23.27,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2023,25,5,12,2,1,2,0,45.7,214.0,21.36,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2024,26,4,12,2,1,1,0,40.7,214.0,19.02,Low
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2025,26,4,12,2,1,1,0,40.7,214.0,19.02,Low
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2026,24,6,12,2,1,3,0,50.7,214.0,23.69,Moderate
