Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2017,18,3,21,2,1,0,0,37.7,256.0,14.73,Low
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2018,25,5,12,4,1,0,0,65.7,256.0,25.66,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2019,29,7,6,4,1,2,0,75.7,256.0,29.57,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2020,28,6,8,4,1,1,0,70.7,256.0,27.62,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2021,28,6,8,4,1,1,0,70.7,256.0,27.62,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2022,27,7,8,4,2,1,0,79.8,256.0,31.17,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2023,27,7,8,4,1,2,0,75.7,256.0,29.57,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2024,28,6,8,4,1,1,0,70.7,256.0,27.62,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2025,28,6,8,4,1,1,0,70.7,256.0,27.62,Moderate
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2026,26,8,8,4,1,3,0,80.7,256.0,31.52,Moderate
