Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
ADANI ENTERPRISES LTD,2017,18,3,21,2,1,0,0,37.7,256.0,14.73,Low
ADANI ENTERPRISES LTD,2018,24,6,12,4,1,1,0,70.7,256.0,27.62,Moderate
ADANI ENTERPRISES LTD,2019,28,8,6,4,1,3,0,80.7,256.0,31.52,Moderate
ADANI ENTERPRISES LTD,2020,28,8,6,4,3,1,0,88.9,256.0,34.73,Moderate
ADANI ENTERPRISES LTD,2021,29,7,6,4,1,2,0,75.7,256.0,29.57,Moderate
ADANI ENTERPRISES LTD,2022,28,8,6,4,2,2,0,84.8,256.0,33.13,Moderate
ADANI ENTERPRISES LTD,2023,29,7,6,4,2,1,0,79.8,256.0,31.17,Moderate
ADANI ENTERPRISES LTD,2024,29,7,6,4,1,2,0,75.7,256.0,29.57,Moderate
ADANI ENTERPRISES LTD,2025,28,8,6,4,2,2,0,84.8,256.0,33.13,Moderate
ADANI ENTERPRISES LTD,2026,28,8,6,4,2,2,0,84.8,256.0,33.13,Moderate
